population,homicides,years_since_rtcc,is_rtcc,treated,region_Midwest,region_Northeast,region_South,region_West
0.07423076923076923,-0.003269230769230783,0.0007692307692307657,0.0026923076923076775,0.0026923076923076905,0.04346153846153848,-0.02019230769230769,0.10038461538461536,0.11923076923076922
0.3326923076923078,0.20038461538461538,0.0007692307692307571,0.0007692307692307593,0.0013461538461538452,-0.1436538461538461,-0.012307692307692313,-0.050769230769230796,-0.009230769230769228
-0.3936538461538461,0.06384615384615387,-0.0044230769230769315,-0.00653846153846154,-0.0015384615384615363,0.07384615384615387,-0.07846153846153843,-0.1478846153846154,-0.18519230769230757
0.06519230769230769,-0.26499999999999996,0.00019230769230768128,0.0023076923076922875,0.0,-0.4163461538461538,-0.025192307692307687,-0.02846153846153846,-0.012692307692307687
-0.10730769230769234,-0.17442307692307685,-0.012500000000000018,-0.00019230769230770182,0.0007692307692307698,-0.14711538461538462,-0.02346153846153846,-0.17115384615384616,-0.044615384615384605
-0.2207692307692308,-0.10788461538461536,-0.0009615384615384773,0.00038461538461536933,8.340016711426957e-19,-0.18057692307692308,-0.04865384615384616,-0.1069230769230769,-0.014615384615384615
-0.11750000000000002,-0.08692307692307694,0.0017307692307692248,-0.0019230769230769375,0.0023076923076923075,0.1403846153846154,-0.0448076923076923,0.3228846153846154,0.10384615384615387
-0.28480769230769243,0.01807692307692306,-0.009038461538461558,-0.005384615384615391,0.0019230769230769227,0.08365384615384616,-0.22192307692307706,-0.15538461538461534,-0.10711538461538458
0.15730769230769226,-0.025384615384615363,0.006153846153846136,0.002307692307692295,0.0030769230769230795,0.12115384615384618,-0.025192307692307698,0.07807692307692307,0.0025000000000000044
-0.24000000000000007,0.016153846153846137,-0.007884615384615405,-0.00576923076923078,0.0017307692307692306,0.011153846153846151,-0.22846153846153858,-0.1292307692307692,-0.09769230769230769
0.0019230769230769162,-0.05923076923076921,0.002115384615384598,0.0017307692307692195,0.0019230769230769227,0.07269230769230772,-0.021923076923076934,0.34211538461538454,-0.021346153846153848
-0.0732692307692308,-0.15403846153846154,-0.004230769230769241,-1.2409944866603313e-17,0.0017307692307692323,-0.19769230769230772,-0.012884615384615387,-0.18596153846153843,-0.05365384615384612
-0.22057692307692306,-0.22057692307692306,-0.005000000000000014,-0.011730769230769246,0.00019230769230769125,0.05634615384615387,-0.03846153846153848,-0.16692307692307692,-0.0732692307692308
-0.3801923076923076,0.10288461538461534,-0.004038461538461555,-0.004230769230769235,-0.0015384615384615376,0.06288461538461536,-0.24134615384615385,-0.1340384615384615,-0.08038461538461535
-0.20903846153846156,-0.1253846153846154,-0.004230769230769242,-0.011730769230769248,0.00019230769230769158,0.07769230769230771,-0.027115384615384614,-0.16307692307692312,-0.2173076923076923
-0.14596153846153842,-0.3913461538461538,0.001346153846153826,0.001346153846153838,0.0009615384615384603,-0.020576923076923066,0.0009615384615384478,-0.06461538461538463,-0.0621153846153846
-0.12057692307692308,-0.027115384615384604,0.006153846153846133,0.0015384615384615346,0.0015384615384615376,0.1582692307692308,-0.04,0.34134615384615385,-0.0011538461538461507
-0.4099999999999999,-0.2234615384615385,-0.002500000000000013,-0.007692307692307705,0.0007692307692307688,0.07307692307692312,0.06653846153846153,-0.1830769230769231,0.0063461538461538495
-0.3451923076923078,0.05673076923076921,-0.004423076923076936,-0.005000000000000013,0.0019230769230769162,0.0878846153846154,-0.23846153846153856,-0.12596153846153849,-0.10749999999999996
-0.25826923076923075,-0.19557692307692306,-0.003653846153846165,-0.009423076923076923,-0.0009615384615384678,0.06288461538461539,-0.04903846153846154,-0.1853846153846154,-0.04057692307692308
-0.28519230769230774,-0.24192307692307688,0.0011538461538461494,0.0030769230769230604,0.0013461538461538474,0.08134615384615389,-0.06384615384615387,-0.09557692307692307,-0.0803846153846154
-0.4069230769230768,-0.424423076923077,-0.005384615384615396,0.0011538461538461407,0.0011538461538461553,0.06807692307692306,-0.03692307692307693,0.12865384615384617,-0.005384615384615378
0.20788461538461528,-0.09211538461538467,-0.00019230769230770743,-0.00019230769230770423,0.0025,0.14,-0.019038461538461546,-0.08923076923076925,0.17038461538461544
0.19442307692307692,0.08788461538461537,0.0024999999999999914,0.0021153846153846023,0.0023076923076923096,0.06576923076923079,0.018653846153846135,-0.05384615384615388,0.00019230769230769247
-0.29557692307692307,-0.3498076923076923,-0.007115384615384626,-0.008269230769230782,0.0009615384615384632,0.0628846153846154,0.05769230769230771,-0.14807692307692308,0.007307692307692303
-0.32211538461538464,-0.47076923076923083,-0.0044230769230769445,0.0001923076923076828,0.002692307692307693,-0.02153846153846154,-0.022115384615384627,0.16519230769230767,-0.007115384615384605
-0.22730769230769232,-0.2484615384615384,-0.0036538461538461763,-0.0005769230769230837,3.0024060161137045e-19,0.04019230769230768,-0.04769230769230769,-0.10173076923076921,-0.09076923076923077
-0.27557692307692316,-0.32423076923076927,-0.008461538461538472,-0.009230769230769232,-0.0013461538461538513,0.06096153846153847,0.034999999999999976,-0.16403846153846152,0.006923076923076922
-0.29673076923076924,0.04307692307692306,-0.0036538461538461664,-0.0053846153846154,-0.0009615384615384604,0.08538461538461538,-0.05711538461538461,-0.1598076923076923,-0.2848076923076924
