,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Albuquerque,0.524,0.039,0.45,0.594,0.001,0.0,3937.0,5269.0,1.0
Chicago,0.218,0.033,0.156,0.279,0.001,0.0,3873.0,5065.0,1.0
Fresno,0.567,0.034,0.502,0.631,0.001,0.0,3710.0,4575.0,1.0
Miami,0.349,0.032,0.29,0.409,0.001,0.0,3656.0,5210.0,1.0
New Orleans,0.323,0.032,0.262,0.383,0.001,0.0,4066.0,4921.0,1.0
St. Louis,0.457,0.032,0.396,0.516,0.001,0.0,4018.0,4950.0,1.0
