city,alpha,beta_1_pre_trend,beta_2_level_change,beta_3_trend_change,se_beta_2,se_beta_3,r_squared,n_obs,n_pre,n_post
Albuquerque,0.7287058225273331,0.014492753623188439,-0.11923396105547142,-0.027300834431269322,0.14458115230742322,0.0653892864492204,0.48857695037769655,8,3,5
Chicago,0.19023879518717415,-0.019590559816378788,-0.10461188387218946,0.0,,,0.8787654558139756,11,10,1
Fresno,0.8768114938283005,0.0395415858651154,-0.1704622874790942,-0.18423023055375998,0.08325005074189015,0.0502016694707087,0.8152500158231333,11,8,3
Miami,0.35212267008971504,-0.015250025063407528,-0.11483453449649458,-0.022038110529812714,0.07778741753662828,0.08937093863031442,0.7575517669617869,11,9,2
New Orleans,0.24047782526527786,-0.02947347996323534,0.054000702342083984,0.0,,,0.9184052489111386,10,9,1
St. Louis,0.4964215788166233,-0.006696127834936265,-0.13744084546531965,-0.00961921337660408,0.0727768725096945,0.04388610536912495,0.7474964516731301,11,8,3
