ori9,agency_name,year,clearance_rate,treated,cate,rtcc_city,population
MI2512500,genesee,1960,0.0,0,-0.5828134769176108,,157219
LA0170200,baton rouge,1960,0.0,0,0.23852623868713935,,152419
NC0340200,winston salem,1960,0.0,0,0.3587928690092921,,111135
AR0600200,little rock,1960,0.0,0,0.3233007099103308,,107813
NJ0200400,elizabeth,1960,0.0,0,0.26003223601712205,,107698
GA1060100,columbus,1960,0.0,0,0.35702556592301016,,116779
CT0015100,waterbury,1960,0.0,0,0.16660678433671386,,107130
AL0030100,montgomery,1960,0.0,0,0.17403321044305659,,134393
TX1880100,amarillo,1960,0.0,0,0.1316161019052757,,137969
DE0020300,new castle,1960,0.0,0,1.0053659680483022,,195746
NJ0160800,paterson,1960,0.0,0,0.3647202058530087,,143663
MA0031100,new bedford,1960,0.0,0,-1.6101091928237903,,102477
NJ0111100,trenton,1960,0.0,0,0.33472916315854667,,114167
MA0071800,springfield,1960,0.0,0,-0.21336140102435233,,174463
NJ0090600,jersey city,1960,0.0,0,-1.3176851936459688,,276101
MA0091100,cambridge,1960,0.0,0,0.1259251117628617,,107716
TX2270100,austin,1960,0.0,0,1.3131714967127228,,186545
CA0150000,kern,1960,0.0,0,0.5154148277530802,,195827
FL0060000,broward,1960,0.0,0,-0.24230779224157625,,145457
CA0100500,fresno,1960,0.0,0,0.36322685171266594,,133929
NJ0040800,camden,1960,0.0,0,0.2237306134241072,,117159
MA0146000,worcester,1960,0.0,0,-0.3313893819346726,,186587
CA0100000,fresno,1960,0.0,0,1.6679353570683029,,182126
MD0020200,anne arundel,1960,0.0,0,0.3727601696482328,,183249
GA0440200,de kalb,1960,0.0,0,1.400922946885799,,182352
TX2430500,wichita falls,1960,0.0,0,0.2233799869883654,,101724
NC0600100,charlotte,1960,0.0,0,1.2911278732267961,,201564
UT0180000,salt lake,1960,0.0,0,-2.055115643197142,,161453
NC0410200,greensboro,1960,0.0,0,0.22559226964089027,,119574
VA1220000,richmond,1960,0.0,0,-0.5418888067328826,,219958
IL1010400,rockford,1960,0.0,0,0.3135981567005959,,126706
WA0270000,pierce,1960,0.0,0,-0.22973606451089038,,145874
RI0040900,providence,1960,0.0,0,-0.18981688442060485,,207498
CA0370000,san diego,1960,0.0,0,2.6006509983516133,,230510
CA0340400,sacramento,1960,0.0,0,-0.15247545060599746,,191667
IN0450700,hammond,1960,0.0,0,0.1761948004826698,,111698
CT0006400,hartford,1960,0.0,0,-0.09057153848332283,Hartford,162178
IN0450500,gary,1960,0.0,0,-0.28937289847594133,,178320
SC0100200,charleston,1960,0.0,0,-1.969905524924129,,150457
CA0190200,arcadia,1960,0.0,0,-0.9244124182239317,Fresno,41005
SC0400000,richland,1960,0.0,0,0.22448712492477274,,102669
PA0350400,scranton,1960,0.0,0,0.22164930218778478,,111443
CA0360000,san bernardino,1960,0.0,0,1.8967568778778618,,230328
IN0020100,fort wayne,1960,0.0,0,2.4256892198722797,,161776
PA0390100,allentown,1960,0.0,0,0.10522371283395549,,108347
WI0130100,madison,1960,0.0,0,0.33338217231545153,,126706
NY0010100,albany,1961,0.0,0,0.24102197094944985,,129726
NB0550100,lincoln,1961,0.0,0,0.3210113177597686,,128521
IN0450500,gary,1961,0.0,0,-0.28937289847594133,,178320
OK0720500,tulsa,1961,0.0,0,-2.5786746966229304,,261685
WI0130100,madison,1961,0.0,0,0.2639154707065681,,126706
OH0780000,trumbull,1961,0.0,0,-1.2428400275752418,,101376
MI8234300,dearborn,1961,0.0,0,0.17399519506767988,,112007
RI0040900,providence,1961,0.0,0,-0.6618203621501733,,207498
TX1520200,lubbock,1961,0.0,0,-0.5155003387419159,,128691
FL0290000,hillsborough,1961,0.0,0,0.41402529826658485,,103295
OH0770000,summit,1961,0.0,0,-1.0231248232030392,,104758
LA0090100,shreveport,1961,0.0,0,-0.6705089294940486,,164372
HI0020A00,honolulu,1961,0.0,0,2.3120152977450688,,206230
FL0170000,escambia,1961,0.0,0,0.3369416244064148,,117077
CT0001500,bridgeport,1961,0.0,0,1.10789249391978,,156748
NM0010100,albuquerque,1961,0.0,0,-0.7265240758079119,Albuquerque,201189
FL0160200,jacksonville,1961,0.0,0,2.569549587668645,,201030
GA1060100,columbus,1961,0.0,0,0.3763240802463831,,116779
CA0430000,santa clara,1961,0.0,0,8.512847084753297,,184325
NJ0200400,elizabeth,1961,0.0,0,0.27144423086597685,,107698
TX1780200,corpus christi,1961,0.0,0,1.037578235301596,,167690
GA0110100,macon,1961,0.0,0,0.4276867904392726,,122876
IN0820100,evansville,1961,0.0,0,0.3381357049026638,,141543
AZ0100300,tucson,1961,0.0,0,-0.5759063617661837,,212892
VA1200000,portsmouth,1961,0.0,0,0.3887700197946929,,114773
IL0720700,peoria,1961,0.0,0,1.2576021926257044,,103162
TN0470100,knoxville,1961,0.0,0,0.05388897811821719,,111827
CA0192500,glendale,1961,0.0,0,0.04481455438615626,,119442
LA0170200,baton rouge,1961,0.0,0,0.3966552405463888,,152419
TN0790000,shelby,1961,0.0,0,0.36926085629318306,,123436
CT0009300,new haven,1961,0.0,0,0.13639486130934092,,152048
AL0020100,mobile,1961,0.0,0,0.16759445900877712,,202779
MI2539800,flint,1961,0.0,0,0.3338687552291929,,196940
PA0390100,allentown,1961,0.0,0,1.975994737769817,,108347
IL0490000,lake,1961,0.0,0,-1.3527454011844153,,102873
FL0290200,tampa,1961,0.0,0,-1.5182080226864554,,274970
NY0270000,monroe,1961,0.0,0,-10.273091841963002,,198616
CA0300100,anaheim,1961,0.0,0,-1.4566210394423436,,104184
NY0330100,syracuse,1961,0.0,0,2.1364573041242623,,216038
AL0010000,jefferson,1961,0.0,0,-2.2028504970348766,,165002
NY0590700,yonkers,1961,0.0,0,-0.03177958629775063,,190634
CA0010300,berkeley,1961,0.0,0,0.33032131879815696,,111268
TX1010000,harris,1961,0.0,0,0.32108785047276905,,146244
OH0570000,montgomery,1961,0.0,0,1.6018032844054662,,161482
KS1050200,kansas city,1961,0.0,0,0.517280123391123,,121901
CA0360000,san bernardino,1961,0.0,0,1.5764096477104306,,230328
CA0010000,alameda,1961,0.0,0,0.4726736636962913,,124334
OH0310000,hamilton,1961,0.0,0,3.4183279569021074,,177786
MN0690600,duluth,1961,0.0,0,0.6006770725154684,,106884
AKASP0000,state police,1961,0.0,0,-2.4721522061314545,,149474
OH0500900,youngstown,1961,0.0,0,-0.28955842893430744,,166689
SC0420000,spartanburg,1961,0.0,0,-1.5743731884985983,,109076
CA0540000,tulare,1961,0.0,0,0.33425863959080415,,112410
IL0160000,cook,1961,0.0,0,1.6141021854579354,,201845
IN0450700,hammond,1961,0.0,0,0.37923252587609635,,111698
KS0890100,topeka,1961,0.0,0,0.06950104895801239,,119484
KY0560100,jefferson,1961,0.0,0,0.7015516981280929,,192984
CA0370000,san diego,1961,0.0,0,16.890468581158316,,230510
OH0760400,canton,1961,0.0,0,0.11563051664552837,,113631
FL0521400,st petersburg,1961,0.0,0,0.4153040607241244,,181298
MS0250100,jackson,1961,0.0,0,0.34435951657435,,144422
NY0310200,niagara falls,1961,0.0,0,-1.3147704955834265,,102394
KS0870300,wichita,1961,0.0,0,0.3126931087613708,,254698
FL0480000,orange,1961,0.0,0,0.3228149625214562,,142954
TX1230100,beaumont,1961,0.0,0,0.10117132936980607,,119175
NY0320200,utica,1961,0.0,0,-0.6646422989214912,,100410
CA0195300,pasadena,1961,0.0,0,0.33938928499911614,,116407
VA0430100,henrico,1961,0.0,0,0.03706105773582844,,117339
VA1160000,newport news,1961,0.0,0,0.18007386698886674,,113662
OH0760000,stark,1961,0.0,0,0.1915978848717183,,152197
CA0197200,torrance,1961,0.0,0,0.22665839488921385,,100991
NY0330000,onondaga,1961,0.0,0,-0.22840757530862865,,173745
OH0570200,dayton,1961,0.0,0,-0.895527520052164,,262332
MI3351900,lansing,1961,0.0,0,0.15892680742377108,,113058
WA0270300,tacoma,1961,0.0,0,0.3848245368713985,,147979
IA0770300,des moines,1961,0.0,0,2.6842035751524014,,208982
MO0956800,st louis,1961,0.0,0,0.7336638311196675,,235891
CT0015100,waterbury,1961,0.0,0,-0.4371315090782014,,107130
MI4143600,grand rapids,1961,0.0,0,0.6485430134206004,,201113
UT0180300,salt lake city,1961,0.0,0,1.1031717867506319,,189454
TX2270100,austin,1961,0.0,0,1.0380217012452164,,186545
NJ0090600,jersey city,1961,0.0,0,-0.8614568931378351,,276101
CA0070000,contra costa,1961,0.0,0,1.1726537704663904,,185249
CT0006400,hartford,1961,0.0,0,1.3570276269535022,Hartford,162178
CA0330000,riverside,1961,0.0,0,0.326931977463805,,146544
CA0301900,santa ana,1961,0.0,0,-0.6436727289309958,,100350
MA0091100,cambridge,1961,0.0,0,-0.47729211314054054,,107716
AZ0070000,maricopa,1961,0.0,0,0.26466693359444954,,117788
CA0150000,kern,1961,0.0,0,1.5391019692918895,,195697
TX2430500,wichita falls,1961,0.0,0,-0.4835539821035781,,101724
MI2512500,genesee,1961,0.0,0,1.7854686758171543,,157219
MI6316300,oakland,1961,0.0,0,0.44059660928285377,,171682
IN0020100,fort wayne,1961,0.0,0,2.4256892198722797,,161776
MA0071800,springfield,1961,0.0,0,2.6218744651608663,,174463
GA0250300,savannah,1961,0.0,0,0.17326762750706995,,149245
TN0470000,knox,1961,0.0,0,0.29160108555637865,,138696
CA0100500,fresno,1961,0.0,0,0.29833821106184805,,133929
GA0440200,de kalb,1961,0.0,0,0.637987413525554,,182352
IN0490000,marion,1961,0.0,0,1.906152756331332,,190609
SC0100200,charleston,1961,0.0,0,-1.8978312418413197,,150457
FL0130200,coral gables,1961,0.0,0,-0.4378091013937149,Miami,34793
FL0520000,pinellas,1961,0.0,0,2.2391112013580976,,102118
MD0020200,anne arundel,1961,0.0,0,0.10492774745057942,,183249
CA0340400,sacramento,1961,0.0,0,0.08437656181858022,,191667
NJ0040800,camden,1961,0.0,0,0.0682654254977736,,117159
SC0230000,greenville,1961,0.0,0,0.2682973880808248,,134864
