city,rtcc_year,pre_years,post_years,pre_homicides,post_homicides,pre_clearance,post_clearance,change_pp,change_pct
Chicago,2017,10,1,4881,654,0.2880557262855972,0.0856269113149847,-20.24288149706125,-70.27418533937124
Miami,2016,9,2,625,119,0.4288,0.2184873949579832,-21.031260504201683,-49.04678289226139
New Orleans,2017,9,1,1271,163,0.35877261998426435,0.294478527607362,-6.429409237690237,-17.92056829189538
St. Louis,2015,8,3,1101,576,0.522252497729337,0.3420138888888889,-18.02386088404481,-34.51177536231884
