att,se,t_stat,p_value,n_obs,n_treated,n_control,specification
-0.04296844327243234,0.12978870365256986,-0.33106458469185546,0.7406001098504824,15740,62,15678,Full comparison pool
-0.04296844327244345,0.13020436625753254,-0.33000769872383334,0.7413986082069105,15491,62,15429,Excluding contaminated controls
-0.04296844327244345,0.13020436625753254,-0.33000769872383334,0.7413986082069105,15491,62,15429,DiD baseline (no mediators)
-0.1783943154401363,0.34523573411702496,-0.5167318959504515,0.6057497660884916,285,171,114,RTCC ITS: log_homicides WITHOUT mediators
-0.19868989050025507,0.31363873396195346,-0.6334992109882625,0.5269266611250232,285,171,114,RTCC ITS: log_homicides WITH mediators
5.873376623376651,14.590277210206432,0.4025541488182287,0.6929547773958509,19,11,8,Fresno ITS: Continuous (post_rtcc)
-2.105367074197496,10.305536603441613,-0.20429475486937695,0.84086921402197,19,9,10,Fresno ITS: Discontinuous (rtcc_active)
