feature,importance
total_sworn,0.45370930433273315
officers_per_10k_pe,0.22233551740646362
homicides_per_sworn,0.10613849014043808
budget_per_capita,0.07470500469207764
est_population,0.06277170777320862
tech_score,0.04909871891140938
year,0.013406076468527317
post_rtcc,0.012889367528259754
data_driven_score,0.004945781547576189
has_bwc,0.0
