variable,label,treated_mean,treated_sd,control_mean,control_sd,smd,balance,n_treated,n_control
est_population,Population,949848.5776237107,778819.0110003328,158686.1175,54476.60202177347,1.4331257003593576,SEVERE,13,400
homicides,Homicides (2020),232.66666666666666,193.3958519605722,10.5175,18.60388921032374,1.6170087370375164,SEVERE,15,400
tech_score,Technology Score,8.333333333333334,1.1126972805283735,,,,NO COMPARISON DATA,15,0
data_driven_score,Data-Driven Score,6.533333333333333,0.5163977794943223,,,,NO COMPARISON DATA,15,0
has_bwc,Body-Worn Camera,1.0,0.0,,,,NO COMPARISON DATA,15,0
budget_per_capita,Budget Per Capita,497.3390602608393,167.08732958365485,,,,NO COMPARISON DATA,15,0
