BH001	BH002	FIPS_STATE	BH003	BH004	BH005	BH006	BH007	BH008	BH009	BH010	BH011	BH012	BH013	BH014	BH015	BH016	BH017	BH018	BH019	BH020	BH021	BH022	BH023	BH024	BH025	BH026	BH027	BH028	BH029	BH030	BH031	BH032	BH033	BH034	BH035	BH036	BH037	BH038	BH039	BH040	BH041	BH042	BH043	BH044	BH045	BH046	BH047	BH048	BH049	BH050	BH051	BH052	BH053	BH054	BH055	BH056	BH057	BH058	BH059	BH060
BH	21	26	MI5974200	     .00	 	01-FEB-1995	SHERIDAN	MI	70	3	2	1	0	MI5915900	3220	205W	1	01-DEC-2023	713	59	319	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	117	 	 	 	 	 	1
BH	21	26	MI5976100	     .00	 	01-JAN-1996	STANTON	MI	70	3	2	1	0	 	3220	205W	1	 	1383	59	319	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	117	 	 	 	 	 	1
BH	21	26	MI6006000	     .00	 	01-JAN-1998	ATLANTA	MI	84	3	2	4	0	 	3220	200E	1	 	0	60	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	6	9	2023	 	 	 	 	 	 	 	 	 	 	 	 	119	 	 	 	 	 	1
BH	21	26	MI6016000	     .00	 	01-JAN-1995	ATLANTA	MI	84	3	2	2	0	 	3220	200E	1	 	9798	60	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	119	 	 	 	 	 	1
BH	21	26	MI6020600	     .00	 	 	LEWISTON	MI	60	3	2	1	0	MI6016000	3220	200E	 	01-DEC-2023	2619	60	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	119	 	 	 	 	 	1
BH	21	26	MI6106100	     .00	 	01-JAN-1998	GRAND RAPIDS	MI	94	3	2	4	0	 	3220	205W	1	 	0	61	563	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	121	 	 	 	 	 	1
BH	21	26	MI6116100	     .00	 	01-JAN-2000	MUSKEGON	MI	92	3	2	2	0	 	3220	205W	1	 	57994	61	563	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	121	 	 	 	 	 	1
BH	21	26	MI6129400	     .00	 	 	CASNOVIA	MI	70	3	2	1	0	MI4114100	3220	205W	 	01-DEC-2023	163	61	563	0	158	41	319	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	121	81	 	 	 	 	1
BH	21	26	MI6134000	     .00	 	 	NORTH MUSKEGON	MI	60	3	2	1	0	MI6116100	3220	205W	 	01-DEC-2023	8252	61	563	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	121	 	 	 	 	 	1
BH	21	26	MI6137300	     .00	 	 	MUSKEGON	MI	50	3	2	1	0	MI6116100	3220	205W	 	01-DEC-2023	11317	61	563	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	121	 	 	 	 	 	1
BH	21	26	MI6141200	     .00	 	01-SEP-2004	FRUITPORT	MI	50	3	2	1	0	 	3220	205W	1	 	14911	61	563	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	121	 	 	 	 	 	1
BH	21	26	MI6159100	     .00	 	01-JAN-1995	MONTAGUE	MI	70	3	2	1	0	 	3220	205W	1	 	2411	61	563	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	121	 	 	 	 	 	1
BH	21	26	MI6160300	     .00	 	01-APR-2000	MUSKEGON	MI	40	3	2	1	1	 	3220	205W	1	 	38188	61	563	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	121	 	 	 	 	 	1
BH	21	26	MI6160400	     .00	 	01-JAN-1995	MUSKEGON HEIGHTS	MI	60	3	2	1	0	 	3220	205W	1	 	9807	61	563	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	6	10	2023	 	 	 	 	 	 	 	 	 	 	 	 	121	 	 	 	 	 	1
BH	21	26	MI6160500	     .00	 	01-AUG-1995	MUSKEGON	MI	50	3	2	1	0	 	3220	205W	1	 	17688	61	563	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	121	 	 	 	 	 	1
BH	21	26	MI6162200	     .00	 	01-DEC-1999	NORTH MUSKEGON	MI	60	3	2	1	0	 	3220	205W	1	 	4083	61	563	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	121	 	 	 	 	 	1
BH	21	26	MI6162500	     .00	 	01-JAN-2000	NORTON SHORES	MI	50	3	2	1	1	 	3220	205W	1	 	24996	61	563	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	121	 	 	 	 	 	1
BH	21	26	MI6171000	     .00	 	01-JAN-2000	MUSKEGON	MI	60	3	2	1	0	 	3220	205W	1	 	4132	61	563	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	121	 	 	 	 	 	1
BH	21	26	MI6182400	     .00	 	01-JAN-1996	WHITEHALL	MI	60	3	2	1	0	 	3220	205W	1	 	3070	61	563	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	121	 	 	 	 	 	1
