city,rtcc_year_verified,rtcc_year_modeled,date_shift,alpha,beta_1_pre_trend,beta_2_level_change,beta_3_trend_change,se_beta_2,r_squared,n_obs,n_pre,n_post,pre_mean_cr,post_mean_cr,raw_change_pp
Chicago,2016,2017,-1,0.2446830105945712,-0.014087351038849586,-0.10089216092136855,-0.044076587319368275,0.02708566240007876,0.9593466826977625,11,9,2,0.315119765788819,0.11470888049409365,-20.041088529472535
St. Louis,2014,2015,-1,0.5723089256883882,0.007142115972429441,-0.17534510331953482,-0.03274363481511639,0.0448137422444772,0.9024848569729327,11,7,4,0.5437404617986704,0.3585615441048222,-18.51789176938482
Miami,2015,2016,-1,0.3223313491213215,-0.0231984978925488,0.09139673070845308,-0.09758072288667184,0.06957937507906221,0.7942615477677665,11,8,3,0.42672458963779136,0.29294885905055396,-13.37757305872374
New Orleans,2017,2017,0,0.24047782526527786,-0.02947347996323534,0.054000702342083984,0.0,,0.9184052489111386,10,9,1,0.3878452250814546,0.294478527607362,-9.33666974740926
